Average Input Tokens per Request,819.55
Average Output Tokens per Request,68.5
Average Tokens per Request,888.05
Average Response Time (seconds),2.89196
Average Requests per Second,0.34579000000000004
Total Cost,0.0032800000000000004
Cost per Request,0.00016
